iter	RMSE
0	14.54864045
1	14.11798371
2	13.65256324
3	13.26626836
4	12.92657508
5	12.59636163
6	12.28099165
7	11.9538828
8	11.59299682
9	11.27704472
10	10.96298587
11	10.71946584
12	10.4986745
13	10.22279839
14	9.993929265
15	9.74680432
16	9.527710816
17	9.314410744
18	9.138255612
19	8.943038664
20	8.755160812
21	8.57303324
22	8.407304209
23	8.248842486
24	8.096507452
25	7.963524321
26	7.838152426
27	7.721157188
28	7.598655865
29	7.499171228
30	7.408220594
31	7.327363556
32	7.220875976
33	7.139494941
34	7.052430959
35	6.974141044
36	6.898044575
37	6.83146238
38	6.776706935
39	6.710000008
40	6.650228831
41	6.5903604
42	6.529879507
43	6.472904952
44	6.427231585
45	6.371132289
46	6.32700666
47	6.287875981
48	6.241876228
49	6.192168833
50	6.149756421
51	6.120852589
52	6.094151609
53	6.057978709
54	6.023282792
55	5.999171098
56	5.970169722
57	5.945535363
58	5.921330372
59	5.892186248
60	5.867691301
61	5.837032495
62	5.810647614
63	5.794312214
64	5.774992251
65	5.756856191
66	5.741407068
67	5.722724915
68	5.703093893
69	5.683631134
70	5.67347462
71	5.661087262
72	5.646367994
73	5.631064802
74	5.613464393
75	5.599760789
76	5.582160844
77	5.568635104
78	5.557437872
79	5.547469726
80	5.541348064
81	5.532649571
82	5.521723883
83	5.507697249
84	5.499513992
85	5.489204174
86	5.482137887
87	5.47240707
88	5.468125144
89	5.458030042
90	5.452233443
91	5.441212358
92	5.436505548
93	5.427180109
94	5.419398251
95	5.411161459
96	5.403668374
97	5.395893412
98	5.388191646
99	5.381130824
100	5.375039949
101	5.369822526
102	5.36476107
103	5.360168125
104	5.357589081
105	5.352857742
106	5.349353668
107	5.343877694
108	5.336377963
109	5.330309129
110	5.326048463
111	5.322703606
112	5.319542942
113	5.314979398
114	5.30901991
115	5.304244599
116	5.301650846
117	5.297774852
118	5.295201308
119	5.289148628
120	5.283789853
121	5.278358683
122	5.276571809
123	5.272326824
124	5.268322068
125	5.26513538
126	5.259516907
127	5.256159062
128	5.252439378
129	5.249852986
130	5.246046246
131	5.241785538
132	5.238070018
133	5.233983732
134	5.231438986
135	5.228511111
136	5.225844082
137	5.222718549
138	5.218336255
139	5.213415479
140	5.207201272
141	5.203252682
142	5.198633153
143	5.195767852
144	5.19402415
145	5.192091607
146	5.188857101
147	5.186851784
148	5.183393185
149	5.179916125
150	5.177806512
151	5.175072204
152	5.174705356
153	5.170087475
154	5.167857596
155	5.164299633
156	5.161976666
157	5.159796309
158	5.156758663
159	5.150654672
160	5.148402494
161	5.143549584
162	5.139119208
163	5.134833962
164	5.133403905
165	5.130241865
166	5.128051518
167	5.126637287
168	5.124735507
169	5.119324645
170	5.117811649
171	5.11278671
172	5.111256215
173	5.106877493
174	5.102361936
175	5.099527989
176	5.09430904
177	5.091765813
178	5.085619842
179	5.081815469
180	5.079293624
181	5.076805942
182	5.074044216
183	5.070828029
184	5.069306436
185	5.067103764
186	5.063014633
187	5.060766895
188	5.057973162
189	5.055533909
190	5.053899173
191	5.052524408
192	5.048620558
193	5.045558768
194	5.042982958
195	5.038266679
196	5.037762534
197	5.036644211
198	5.034370605
199	5.033124687
