iter	Passed	Remaining
0	1	294
1	2	213
2	2	190
3	3	189
4	4	194
5	6	198
6	6	192
7	7	190
8	9	195
9	10	193
10	11	195
11	12	197
12	13	197
13	14	198
14	15	194
15	16	194
16	18	194
17	19	194
18	20	193
19	21	190
20	22	190
21	23	192
22	25	193
23	26	193
24	27	193
25	28	193
26	30	193
27	31	193
28	32	193
29	34	193
30	35	193
31	36	193
32	38	192
33	39	192
34	40	191
35	42	191
36	42	189
37	44	188
38	45	188
39	46	187
40	48	186
41	49	185
42	50	184
43	51	183
44	52	182
45	53	180
46	55	179
47	56	178
48	57	177
49	58	176
50	60	175
51	61	174
52	62	173
53	63	172
54	64	171
55	65	169
56	66	167
57	68	166
58	69	165
59	70	164
60	71	163
61	72	161
62	73	160
63	75	159
64	76	158
65	77	156
66	78	155
67	79	153
68	80	152
69	81	150
70	81	148
71	82	147
72	83	145
73	84	144
74	85	142
75	86	141
76	87	140
77	88	138
78	89	137
79	90	135
80	90	133
81	91	131
82	92	130
83	93	128
84	94	127
85	94	125
86	95	124
87	96	122
88	96	120
89	97	119
90	98	117
91	98	116
92	99	114
93	100	113
94	101	111
95	101	110
96	102	108
97	102	107
98	103	105
99	104	104
100	104	102
101	105	101
102	105	99
103	106	98
104	106	96
105	107	95
106	107	93
107	108	92
108	108	90
109	109	89
110	109	87
111	110	86
112	110	85
113	111	83
114	111	82
115	112	81
116	112	79
117	113	78
118	113	77
119	114	76
120	114	75
121	115	73
122	115	72
123	116	71
124	117	70
125	117	69
126	118	67
127	118	66
128	119	65
129	119	64
130	120	63
131	120	62
132	121	61
133	121	60
134	122	59
135	123	57
136	123	56
137	124	55
138	125	54
139	125	53
140	126	52
141	126	51
142	127	50
143	127	49
144	128	48
145	128	47
146	129	46
147	130	45
148	130	44
149	131	43
150	131	42
151	132	41
152	132	40
153	132	39
154	133	38
155	133	37
156	134	36
157	134	35
158	135	35
159	136	34
160	137	33
161	138	32
162	139	31
163	139	30
164	140	29
165	141	28
166	142	28
167	142	27
168	143	26
169	144	25
170	144	24
171	145	23
172	146	22
173	147	21
174	147	21
175	148	20
176	149	19
177	149	18
178	150	17
179	150	16
180	151	15
181	151	15
182	152	14
183	152	13
184	153	12
185	153	11
186	154	10
187	154	9
188	155	9
189	155	8
190	156	7
191	156	6
192	157	5
193	157	4
194	158	4
195	159	3
196	159	2
197	160	1
198	160	0
199	161	0
